Setting file: input/beam/settings.yml
Output directory: result/beam

*** START SIMULATION ***
1: dt=0.001s   t=0.001s   fin=5.0s   elapsed=0h 00m 0s   remain=0h 13m 10s   ave=0.158s/step   last=0.150s/step   out=1files   Courant=0.00
2: dt=0.001s   t=0.002s   fin=5.0s   elapsed=0h 00m 0s   remain=0h 12m 46s   ave=0.153s/step   last=0.149s/step   out=1files   Courant=0.00
3: dt=0.001s   t=0.003s   fin=5.0s   elapsed=0h 00m 0s   remain=0h 12m 35s   ave=0.151s/step   last=0.147s/step   out=1files   Courant=0.00
4: dt=0.001s   t=0.004s   fin=5.0s   elapsed=0h 00m 0s   remain=0h 12m 27s   ave=0.150s/step   last=0.145s/step   out=1files   Courant=0.00
5: dt=0.001s   t=0.005s   fin=5.0s   elapsed=0h 00m 0s   remain=0h 12m 25s   ave=0.149s/step   last=0.147s/step   out=1files   Courant=0.00
6: dt=0.001s   t=0.006s   fin=5.0s   elapsed=0h 00m 0s   remain=0h 12m 25s   ave=0.149s/step   last=0.150s/step   out=1files   Courant=0.00
7: dt=0.001s   t=0.007s   fin=5.0s   elapsed=0h 00m 1s   remain=0h 12m 25s   ave=0.149s/step   last=0.148s/step   out=1files   Courant=0.00
8: dt=0.001s   t=0.008s   fin=5.0s   elapsed=0h 00m 1s   remain=0h 12m 24s   ave=0.149s/step   last=0.149s/step   out=1files   Courant=0.00
9: dt=0.001s   t=0.009s   fin=5.0s   elapsed=0h 00m 1s   remain=0h 12m 23s   ave=0.149s/step   last=0.147s/step   out=1files   Courant=0.00
10: dt=0.001s   t=0.010s   fin=5.0s   elapsed=0h 00m 1s   remain=0h 12m 23s   ave=0.149s/step   last=0.149s/step   out=1files   Courant=0.00
11: dt=0.001s   t=0.011s   fin=5.0s   elapsed=0h 00m 1s   remain=0h 12m 23s   ave=0.149s/step   last=0.150s/step   out=1files   Courant=0.00
12: dt=0.001s   t=0.012s   fin=5.0s   elapsed=0h 00m 1s   remain=0h 12m 23s   ave=0.149s/step   last=0.149s/step   out=1files   Courant=0.00
13: dt=0.001s   t=0.013s   fin=5.0s   elapsed=0h 00m 1s   remain=0h 12m 22s   ave=0.149s/step   last=0.146s/step   out=1files   Courant=0.00
14: dt=0.001s   t=0.014s   fin=5.0s   elapsed=0h 00m 2s   remain=0h 12m 21s   ave=0.149s/step   last=0.146s/step   out=1files   Courant=0.00
15: dt=0.001s   t=0.015s   fin=5.0s   elapsed=0h 00m 2s   remain=0h 12m 20s   ave=0.148s/step   last=0.146s/step   out=1files   Courant=0.00
