   1: t=0.001s
   2: t=0.002s
   3: t=0.003s
   4: t=0.004s
   5: t=0.005s
   6: t=0.006s
   7: t=0.007s
   8: t=0.008s
   9: t=0.009s
  10: t=0.010s
  11: t=0.011s
  12: t=0.012s
  13: t=0.013s
  14: t=0.014s
  15: t=0.015s
  16: t=0.016s
  17: t=0.017s
  18: t=0.018s
  19: t=0.019s
  20: t=0.020s
  21: t=0.021s
  22: t=0.022s
  23: t=0.023s
  24: t=0.024s
  25: t=0.025s
  26: t=0.026s
  27: t=0.027s
  28: t=0.028s
  29: t=0.029s
  30: t=0.030s
  31: t=0.031s
  32: t=0.032s
  33: t=0.033s
  34: t=0.034s
  35: t=0.035s
  36: t=0.036s
  37: t=0.037s
  38: t=0.038s
  39: t=0.039s
  40: t=0.040s
  41: t=0.041s
  42: t=0.042s
  43: t=0.043s
  44: t=0.044s
  45: t=0.045s
  46: t=0.046s
  47: t=0.047s
  48: t=0.048s
  49: t=0.049s
  50: t=0.050s
  51: t=0.051s
  52: t=0.052s
  53: t=0.053s
  54: t=0.054s
  55: t=0.055s
  56: t=0.056s
  57: t=0.057s
  58: t=0.058s
  59: t=0.059s
  60: t=0.060s
  61: t=0.061s
  62: t=0.062s
  63: t=0.063s
  64: t=0.064s
  65: t=0.065s
  66: t=0.066s
  67: t=0.067s
  68: t=0.068s
  69: t=0.069s
  70: t=0.070s
  71: t=0.071s
  72: t=0.072s
  73: t=0.073s
  74: t=0.074s
  75: t=0.075s
  76: t=0.076s
  77: t=0.077s
  78: t=0.078s
  79: t=0.079s
  80: t=0.080s
  81: t=0.081s
  82: t=0.082s
  83: t=0.083s
  84: t=0.084s
  85: t=0.085s
  86: t=0.086s
  87: t=0.087s
  88: t=0.088s
  89: t=0.089s
  90: t=0.090s
  91: t=0.091s
  92: t=0.092s
  93: t=0.093s
  94: t=0.094s
  95: t=0.095s
  96: t=0.096s
  97: t=0.097s
  98: t=0.098s
  99: t=0.099s
 100: t=0.100s
 101: t=0.101s
 102: t=0.102s
 103: t=0.103s
 104: t=0.104s
 105: t=0.105s
 106: t=0.106s
 107: t=0.107s
 108: t=0.108s
 109: t=0.109s
 110: t=0.110s
 111: t=0.111s
 112: t=0.112s
 113: t=0.113s
 114: t=0.114s
 115: t=0.115s
 116: t=0.116s
 117: t=0.117s
 118: t=0.118s
 119: t=0.119s
 120: t=0.120s
 121: t=0.121s
 122: t=0.122s
 123: t=0.123s
 124: t=0.124s
 125: t=0.125s
 126: t=0.126s
 127: t=0.127s
 128: t=0.128s
 129: t=0.129s
 130: t=0.130s
 131: t=0.131s
 132: t=0.132s
 133: t=0.133s
 134: t=0.134s
 135: t=0.135s
 136: t=0.136s
 137: t=0.137s
 138: t=0.138s
 139: t=0.139s
 140: t=0.140s
 141: t=0.141s
 142: t=0.142s
 143: t=0.143s
 144: t=0.144s
 145: t=0.145s
 146: t=0.146s
 147: t=0.147s
 148: t=0.148s
 149: t=0.149s
 150: t=0.150s
 151: t=0.151s
 152: t=0.152s
 153: t=0.153s
 154: t=0.154s
 155: t=0.155s
 156: t=0.156s
 157: t=0.157s
 158: t=0.158s
 159: t=0.159s
 160: t=0.160s
 161: t=0.161s
 162: t=0.162s
 163: t=0.163s
 164: t=0.164s
 165: t=0.165s
 166: t=0.166s
 167: t=0.167s
 168: t=0.168s
 169: t=0.169s
 170: t=0.170s
 171: t=0.171s
 172: t=0.172s
 173: t=0.173s
 174: t=0.174s
 175: t=0.175s
 176: t=0.176s
 177: t=0.177s
 178: t=0.178s
 179: t=0.179s
 180: t=0.180s
 181: t=0.181s
 182: t=0.182s
 183: t=0.183s
 184: t=0.184s
 185: t=0.185s
 186: t=0.186s
 187: t=0.187s
 188: t=0.188s
 189: t=0.189s
 190: t=0.190s
 191: t=0.191s
 192: t=0.192s
 193: t=0.193s
 194: t=0.194s
 195: t=0.195s
 196: t=0.196s
 197: t=0.197s
 198: t=0.198s
 199: t=0.199s
 200: t=0.200s
 201: t=0.201s
 202: t=0.202s
 203: t=0.203s
 204: t=0.204s
 205: t=0.205s
 206: t=0.206s
 207: t=0.207s
 208: t=0.208s
 209: t=0.209s
 210: t=0.210s
 211: t=0.211s
 212: t=0.212s
 213: t=0.213s
 214: t=0.214s
 215: t=0.215s
 216: t=0.216s
 217: t=0.217s
 218: t=0.218s
 219: t=0.219s
 220: t=0.220s
 221: t=0.221s
 222: t=0.222s
